@relation libSVM2ARFF_DATA

@attribute attribute_1 real
@attribute attribute_2 real
@attribute attribute_3 real
@attribute attribute_4 real
@attribute class {class_0,class_1}

@data
2,1,0,0.499128021666994,class_0
0,1,0,0.500920429660882,class_0
2,1,0,0.499128021666994,class_1
0,0,0,0.500920429660882,class_0
9,0,0,0.475612070601632,class_0
4,1,0,0.433514012224657,class_0
8,0,0,0.499849400211241,class_1
8,0,0,0.499849400211241,class_1
9,1,1,0.475612070601632,class_1
9,0,1,0.475612070601632,class_1
9,0,1,0.475612070601632,class_0
5,0,1,0.449426111908178,class_1
9,1,1,0.475612070601632,class_0
9,0,1,0.475612070601632,class_1
4,1,0,0.433514012224657,class_1
1,1,0,0,class_1
1,0,0,0,class_1
4,1,0,0.433514012224657,class_0
4,1,0,0.433514012224657,class_0
6,0,1,0.459546688183085,class_1
6,1,1,0.459546688183085,class_1
6,0,0,0.459546688183085,class_0
0,1,1,0.500920429660882,class_0
0,1,0,0.500920429660882,class_1
0,0,0,0.500920429660882,class_0
1,1,0,0,class_1
0,0,0,0.500920429660882,class_0
1,0,0,0,class_0
0,0,0,0.500920429660882,class_0
1,0,0,0,class_1
0,1,0,0.500920429660882,class_0
0,1,0,0.500920429660882,class_0
8,1,0,0.499849400211241,class_0
0,1,0,0.500920429660882,class_0
4,1,0,0.433514012224657,class_1
7,1,0,0.466550825369244,class_1
1,0,0,0,class_0
2,0,0,0.499128021666994,class_0
6,0,0,0.459546688183085,class_0
7,1,0,0.495283169483605,class_1
6,0,0,0.50094000799585,class_0
6,0,0,0.50094000799585,class_0
6,0,0,0.50094000799585,class_1
6,0,0,0.50094000799585,class_0
6,0,0,0.50094000799585,class_0
6,1,0,0.50094000799585,class_0
6,0,0,0.50094000799585,class_1
8,0,1,0.47168593707986,class_0
8,0,1,0.47168593707986,class_1
8,1,1,0.47168593707986,class_0
8,0,1,0.47168593707986,class_0
8,0,1,0.47168593707986,class_1
8,0,1,0.47168593707986,class_1
7,1,1,0.466550825369244,class_1
7,0,1,0.466550825369244,class_1
7,0,1,0.466550825369244,class_1
9,1,0,0.499637517058469,class_1
9,1,0,0.499637517058469,class_0
9,0,0,0.499637517058469,class_0
9,0,1,0.475612070601632,class_1
1,1,1,0,class_0
0,1,1,0.500920429660882,class_0
6,1,1,0.459546688183085,class_1
6,1,1,0.459546688183085,class_1
1,1,1,0,class_1
9,1,1,0.475612070601632,class_1
9,0,0,0.475612070601632,class_1
9,0,1,0.475612070601632,class_0
2,1,0,0.499128021666994,class_0
2,0,0,0.499128021666994,class_1
2,1,0,0.499128021666994,class_1
2,0,0,0.499128021666994,class_0
4,0,0,0.433514012224657,class_0
0,0,0,0.500920429660882,class_1
4,1,0,0.433514012224657,class_0
9,0,0,0.499637517058469,class_0
0,1,0,0.500920429660882,class_1
9,0,0,0.499637517058469,class_1
1,1,1,0,class_0
