New Zealand 	India 	New Zealand 	108 runs 	Dunedin 	Mar 1, 1990 	ODI # 612
Australia 	India 	Australia 	18 runs 	Christchurch 	Mar 3, 1990 	ODI # 613
New Zealand 	India 	India 	1 run 	Wellington 	Mar 6, 1990 	ODI # 616
Australia 	India 	Australia 	7 wickets 	Hamilton 	Mar 8, 1990 	ODI # 618
India 	Sri Lanka 	Sri Lanka 	3 wickets 	Sharjah 	Apr 25, 1990 	ODI # 623
India 	Pakistan 	Pakistan 	26 runs 	Sharjah 	Apr 27, 1990 	ODI # 625
England 	India 	India 	6 wickets 	Leeds 	Jul 18, 1990 	ODI # 634
England 	India 	India 	5 wickets 	Nottingham 	Jul 20, 1990 	ODI # 635
India 	Sri Lanka 	India 	19 runs 	Nagpur 	Dec 1, 1990 	ODI # 644
India 	Sri Lanka 	India 	6 wickets 	Pune 	Dec 5, 1990 	ODI # 646
India 	Sri Lanka 	Sri Lanka 	7 wickets 	Margao 	Dec 8, 1990 	ODI # 648
India 	Bangladesh 	India 	9 wickets 	Chandigarh 	Dec 25, 1990 	ODI # 657
India 	Sri Lanka 	Sri Lanka 	36 runs 	Cuttack 	Dec 28, 1990 	ODI # 658
India 	Sri Lanka 	India 	7 wickets 	Kolkata 	Jan 4, 1991 	ODI # 661
India 	Pakistan 	India 	60 runs 	Sharjah 	Oct 18, 1991 	ODI # 680
India 	West Indies 	India 	19 runs 	Sharjah 	Oct 19, 1991 	ODI # 681
India 	West Indies 	India 	7 wickets 	Sharjah 	Oct 22, 1991 	ODI # 683
India 	Pakistan 	Pakistan 	4 runs 	Sharjah 	Oct 23, 1991 	ODI # 684
India 	Pakistan 	Pakistan 	72 runs 	Sharjah 	Oct 25, 1991 	ODI # 685
India 	South Africa 	India 	3 wickets 	Kolkata 	Nov 10, 1991 	ODI # 686
India 	South Africa 	India 	38 runs 	Gwalior 	Nov 12, 1991 	ODI # 687
India 	South Africa 	South Africa 	8 wickets 	New Delhi 	Nov 14, 1991 	ODI # 688
India 	West Indies 	tied 		Perth 	Dec 6, 1991 	ODI # 692
Australia 	India 	India 	107 runs 	Perth 	Dec 8, 1991 	ODI # 693
Australia 	India 	Australia 	8 wickets 	Hobart 	Dec 10, 1991 	ODI # 694
India 	West Indies 	India 	10 runs 	Adelaide 	Dec 14, 1991 	ODI # 696
