@relation /home/harish/CS6347project/data_5teams/Duke_arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 {1,2,}

@data
1,29,68,13,37,30,45,19,29,17,14,11,6,21,58,3,13,8,12,9,28,12,27,5,1,1
1,30,67,6,19,29,38,16,29,19,21,11,10,29,64,8,22,14,18,9,25,18,24,11,3,1
0,32,59,9,21,11,17,11,21,17,12,7,3,25,58,6,13,17,23,16,21,11,14,6,3,1
0,27,55,10,23,27,35,13,19,16,13,8,4,23,55,8,18,22,25,14,15,9,17,6,3,1
1,29,61,3,18,20,32,16,24,12,13,14,5,22,51,5,14,10,18,10,22,11,25,3,3,1
0,27,71,4,21,33,45,28,23,11,14,15,5,23,60,6,17,5,12,18,23,11,30,8,3,1
1,27,46,7,13,24,37,8,22,18,18,5,5,27,62,6,25,14,24,14,16,11,14,7,2,1
1,27,69,7,21,25,34,14,31,17,12,11,11,22,59,1,9,13,20,10,29,13,23,4,1,1
-1,27,52,11,23,24,31,10,18,18,14,10,3,24,58,1,10,22,29,18,20,11,17,4,1,1
1,34,65,5,16,20,36,12,33,14,16,7,6,34,76,4,17,14,22,13,24,12,17,8,9,1
1,27,57,10,20,10,15,8,23,18,12,8,6,22,64,4,18,7,12,19,26,7,18,8,6,1
1,29,58,9,15,37,40,7,24,17,11,4,5,31,61,4,14,27,39,11,21,15,14,6,5,1
1,28,66,7,22,9,20,13,19,9,15,7,3,26,56,6,15,29,31,12,31,17,16,9,6,2
1,20,53,8,26,23,30,14,19,13,15,7,1,23,46,9,21,25,34,7,21,16,14,6,3,2
1,31,61,5,13,24,33,15,26,17,12,7,7,21,54,2,10,27,37,13,16,8,15,5,8,1
1,28,53,5,15,19,21,12,28,10,14,6,5,22,58,9,26,7,10,9,13,7,10,10,2,1
1,25,72,12,37,8,14,18,17,17,12,11,1,30,50,3,7,12,21,8,30,13,17,6,4,2
1,28,64,10,25,17,22,17,26,13,16,11,4,27,61,10,21,10,19,12,20,14,14,6,5,1
1,21,62,5,24,18,28,20,22,12,16,11,6,19,49,5,8,12,16,11,29,9,26,8,6,1
1,23,73,6,31,28,37,19,18,4,16,5,4,31,60,3,10,29,39,15,35,15,24,1,5,2
-1,30,67,5,16,13,23,13,30,12,12,7,6,24,60,4,19,7,14,9,27,12,16,4,4,1
1,28,68,7,22,12,19,18,25,12,11,4,13,23,58,6,15,18,22,12,25,17,12,8,5,1
1,27,57,3,12,22,29,9,14,9,12,13,2,26,46,1,10,15,18,7,21,9,24,7,1,1
-1,30,54,11,17,6,13,9,27,17,16,6,8,22,57,2,7,12,15,10,20,13,12,5,5,1
1,24,45,7,16,16,29,11,23,10,16,1,5,24,62,3,6,21,34,21,20,7,8,9,3,2
1,22,56,4,15,24,28,16,23,10,21,12,5,22,54,4,11,8,15,13,16,16,24,11,6,1
