@relation /home/harish/CS6347project/data_5teams/Duke_tou_arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 {1,2,}

@data
0,19,54,4,13,25,31,13,27,4,16,10,8,18,54,3,11,18,22,11,24,8,19,5,4,1
0,32,52,10,15,12,16,4,23,14,11,15,9,21,57,8,17,10,14,14,19,8,21,4,2,1
0,25,65,10,26,5,8,11,22,11,14,6,7,29,67,1,12,10,17,18,29,14,17,4,5,2
0,32,66,9,26,23,31,17,29,19,14,14,4,22,57,7,20,10,17,9,22,7,21,7,1,1
0,26,48,4,11,34,38,11,29,16,10,3,3,24,57,3,17,11,16,8,14,11,10,4,0,1
0,28,51,6,18,10,15,5,24,19,13,10,5,26,64,4,13,6,11,14,22,17,12,5,2,1
0,21,54,8,20,16,20,10,29,15,11,6,7,22,63,3,15,16,23,16,24,8,10,5,0,1
0,29,71,6,22,14,23,17,20,11,9,8,3,26,52,6,11,21,32,13,31,9,18,5,6,2
0,16,39,6,20,19,29,5,27,9,8,5,6,19,52,5,15,3,6,9,21,10,11,3,1,1
0,19,50,8,21,17,21,13,30,8,16,8,6,20,62,4,13,11,21,18,21,9,10,7,5,1
0,22,51,7,23,17,24,9,24,8,22,11,2,27,65,5,14,19,23,16,22,12,16,13,0,2
0,24,49,5,15,17,20,9,26,15,20,9,8,22,62,4,13,6,10,16,16,8,16,14,4,1
0,21,44,6,16,26,37,9,30,12,18,4,10,21,68,5,18,14,19,19,20,10,14,8,3,1
0,18,65,5,26,13,16,17,27,12,16,9,5,24,61,2,7,12,23,16,29,14,15,7,9,2
0,27,58,3,11,20,32,18,24,11,17,5,6,26,61,9,16,18,24,14,17,14,11,13,1,2
0,25,58,6,21,15,21,13,27,9,15,11,2,26,59,8,23,10,15,9,24,12,14,7,2,1
0,19,50,5,22,24,32,7,20,6,13,6,3,25,62,4,11,19,22,19,28,12,17,1,5,2
0,28,57,9,20,21,25,17,21,21,15,6,3,27,51,7,15,1,5,6,14,9,18,9,4,1
0,23,53,7,14,21,27,12,19,9,9,8,2,25,50,3,12,16,25,13,23,8,15,5,3,1
0,16,60,5,27,17,24,8,26,7,11,8,2,27,64,4,18,19,23,13,36,9,12,5,5,2
0,24,47,6,13,19,28,13,28,12,14,5,4,17,53,4,19,6,7,9,15,8,16,7,4,1
0,27,57,3,17,11,17,11,23,11,5,4,5,19,48,3,12,12,16,9,24,6,11,3,1,1
0,22,55,6,15,20,24,16,32,11,14,4,2,20,54,4,15,13,21,7,20,12,7,7,6,1
0,22,61,11,23,23,29,23,20,15,11,7,0,27,59,5,18,12,19,17,20,14,11,8,8,1
0,29,55,13,25,7,9,11,18,20,6,5,1,19,46,5,12,14,19,11,16,11,10,1,4,1
0,23,52,5,17,10,16,11,26,12,12,5,7,20,58,6,18,13,18,14,21,7,8,4,0,1
0,32,60,9,19,14,16,9,29,17,9,9,4,19,55,4,14,3,7,9,20,4,17,2,1,1
0,25,49,5,20,18,25,10,23,12,11,1,2,27,53,7,21,10,11,4,18,13,7,7,0,1
0,27,58,5,14,18,22,9,18,10,11,5,6,34,63,9,15,16,21,16,24,15,12,7,3,2
0,24,58,6,26,16,23,13,29,12,13,4,3,22,52,6,18,25,37,9,25,12,8,7,1,2
0,27,46,4,11,15,21,5,23,17,11,9,3,19,52,9,15,14,16,10,16,14,13,7,2,1
0,19,49,7,20,21,28,7,31,9,9,7,4,16,53,2,19,16,18,7,26,9,10,2,2,1
0,20,49,7,18,24,26,5,24,8,8,3,5,20,50,3,12,18,24,8,25,6,11,6,4,1
0,19,52,4,16,21,28,11,20,11,12,4,2,29,55,2,13,25,36,11,26,8,8,10,9,2
0,22,62,15,37,12,13,16,19,15,12,6,1,25,45,5,13,23,28,3,24,16,8,3,0,2
