@relation /home/harish/CS6347project/data_5teams/Robert_Morris_regular2015_arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 {1,2,}

@data
-1,13,52,5,22,19,27,12,15,6,11,9,4,25,49,5,13,22,28,10,31,16,13,6,1,2
1,22,61,6,20,9,14,8,5,9,18,4,6,36,71,4,16,27,36,18,27,29,8,9,5,2
-1,18,44,9,18,23,33,8,28,11,22,10,3,19,53,9,22,14,27,9,21,14,18,10,5,1
1,18,59,7,25,23,30,11,12,12,10,10,2,28,57,6,22,18,27,15,30,17,15,6,8,2
1,15,54,3,15,13,18,5,18,4,14,11,2,16,41,5,16,24,31,6,30,14,16,7,6,2
0,24,56,6,13,17,20,15,19,13,11,12,2,21,50,4,17,8,14,9,9,14,14,4,7,1
-1,31,61,9,21,10,17,10,17,15,11,8,3,33,61,10,24,13,17,10,22,17,12,9,2,2
-1,23,48,4,20,9,14,4,17,9,24,8,4,25,57,5,15,19,26,9,22,16,16,10,2,2
1,26,56,5,11,18,25,13,28,16,15,8,8,19,61,8,35,13,25,14,20,13,13,5,5,1
1,21,52,3,18,12,24,9,15,9,18,10,1,31,60,9,17,12,19,12,29,21,14,7,4,2
1,25,45,6,13,28,40,4,27,10,17,11,4,24,62,11,31,22,29,10,26,17,16,4,3,1
1,24,74,6,23,3,6,13,23,8,7,7,6,25,54,4,17,10,16,11,32,12,16,1,9,2
1,23,43,6,14,18,26,3,30,18,18,13,3,13,52,5,20,14,19,8,24,7,19,10,3,1
1,22,49,1,11,14,18,6,25,8,13,6,1,24,53,7,20,11,21,7,21,10,8,9,2,2
-1,22,47,6,14,27,35,7,22,15,12,13,2,23,57,10,19,17,23,12,24,14,17,7,1,1
-1,28,53,6,16,10,15,9,15,15,8,9,0,20,49,8,23,12,14,12,22,16,14,1,3,1
-1,21,53,5,10,16,20,11,24,10,9,2,0,22,48,7,20,17,30,10,20,13,5,3,7,2
1,35,64,8,17,7,14,12,31,20,13,6,4,26,58,5,19,8,23,10,16,15,11,5,2,1
-1,21,43,6,10,15,21,6,23,10,20,5,3,21,56,5,20,12,20,11,22,14,16,10,3,1
-1,22,49,6,9,17,24,6,24,9,15,7,4,22,62,5,17,16,28,20,39,14,12,6,6,1
1,30,60,11,24,16,22,13,24,22,11,10,3,27,59,5,18,6,15,9,15,12,13,9,5,1
-1,23,60,9,26,13,14,15,22,14,10,10,2,27,50,6,16,11,12,8,18,16,14,2,1,2
1,27,58,2,13,9,12,7,17,11,17,9,7,23,60,3,13,23,30,15,22,13,17,10,1,2
-1,30,49,4,9,12,17,7,18,13,12,6,1,24,52,9,25,5,11,8,14,18,13,5,2,1
-1,24,55,5,14,9,11,5,9,13,12,5,1,22,53,5,19,14,21,13,21,11,15,7,3,2
1,23,54,5,14,2,2,9,21,7,9,8,3,22,56,8,19,0,0,10,21,14,12,5,3,1
1,29,55,6,12,12,17,9,13,10,20,7,2,28,64,6,23,18,23,16,19,19,15,14,4,2
-1,27,59,8,18,14,16,12,17,14,8,6,2,26,52,14,29,4,8,8,11,18,12,5,2,1
1,33,61,14,22,11,17,9,22,21,8,13,4,19,61,7,19,14,20,17,27,6,19,3,0,1
1,26,65,7,24,12,18,10,26,11,13,5,2,22,54,8,22,18,23,8,25,9,15,6,2,1
1,30,56,12,20,19,25,10,24,20,13,6,1,24,58,3,13,17,19,12,19,12,15,8,1,1
1,25,56,7,23,9,10,7,19,12,12,15,3,18,45,8,20,9,13,7,19,12,19,5,3,1
-1,21,47,8,16,16,25,6,17,9,13,13,4,23,60,8,25,9,22,22,40,15,16,8,3,1
