@relation /home/harish/CS6347project/data_5teams/Texas_arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 {1,2,}

@data
0,30,61,6,14,11,13,17,22,12,14,4,4,24,62,6,16,17,27,21,15,12,10,7,1,1
1,27,70,10,37,17,25,25,27,17,16,11,5,16,51,2,16,21,24,10,23,3,20,12,1,1
1,32,63,5,18,7,9,13,29,14,23,18,5,18,53,4,10,5,11,10,20,11,29,12,1,1
0,28,58,4,12,18,29,17,27,21,17,6,6,25,62,4,13,7,14,14,22,12,14,7,4,1
0,34,67,3,13,29,36,18,23,17,14,7,2,28,55,4,17,32,41,10,19,12,14,4,4,1
0,34,82,14,25,10,13,18,28,21,9,4,5,33,72,13,27,19,23,14,31,19,9,5,10,2
1,24,66,6,20,16,23,17,24,16,14,2,1,26,66,5,15,16,24,17,29,15,13,4,1,2
1,42,77,5,19,8,12,16,30,25,11,15,4,21,60,6,22,11,18,12,21,9,21,10,5,1
1,17,48,5,16,18,22,17,22,7,13,7,2,21,49,7,22,5,8,7,15,10,10,6,3,1
1,18,48,6,23,16,22,11,20,14,13,8,3,19,54,4,21,8,13,18,21,5,18,6,2,1
1,27,73,8,20,18,27,26,26,10,17,12,5,19,53,7,18,19,25,9,26,5,24,10,1,1
1,24,53,7,15,15,22,14,25,14,13,5,3,20,56,6,14,4,7,13,19,7,17,3,1,1
-1,32,59,6,14,12,17,16,19,17,14,4,3,22,47,9,22,18,26,10,16,13,15,10,3,1
